time,E,I,reverse_time
0.0,0.0,1.0,35.0
0.5,0.27449907989062594,0.8810297396032595,34.5
1.0,0.4648462695395449,0.8327257107109874,34.0
1.5,0.6062258608796066,0.8293560210280366,33.5
2.0,0.7201583667711297,0.8554936500077425,33.0
2.5,0.8198924558653227,0.9019774544892216,32.5
3.0,0.9136766870470081,0.9634637554148722,32.0
3.5,1.006745395561964,1.0369427789842827,31.5
4.0,1.102524801237681,1.1208404401264154,31.0
4.5,1.20336629718539,1.2144752937236325,30.5
5.0,1.3109931107964228,1.3177310577955084,30.0
5.5,1.426773281270666,1.4308600527091302,29.5
6.0,1.5518874721613598,1.5543662243380263,29.0
6.5,1.6874331930852173,1.688936632278195,28.5
7.0,1.8344906635360043,1.835402545501559,28.0
7.5,1.9941656417666829,1.9947187261368309,27.5
8.0,2.1676185326030155,2.167953995230918,27.0
8.5,2.3560854450861783,2.356288913455189,26.5
9.0,2.5608946631622747,2.5610180729663616,26.0
9.5,2.7834806556660507,2.7835555074959393,25.5
10.0,3.0253969431658683,3.0254423430956314,25.0
10.5,3.2883286511750764,3.2883561876244265,24.5
11.0,3.5741052858488813,3.574121987549672,24.0
11.5,3.8847140932058783,3.8847242232994774,23.5
12.0,4.222314259839029,4.222320404051383,23.0
12.5,4.589252153950909,4.589255880604082,22.5
13.0,4.988077773366133,4.98808003369554,22.0
13.5,5.421562551656827,5.421563922615913,21.5
14.0,5.892718668455459,5.892719499984178,21.0
14.5,6.404820011687451,6.404820516035113,20.5
15.0,6.961424945600664,6.961425251502985,20.0
15.5,7.566401047781367,7.566401233320505,19.5
16.0,8.22395199006556,8.223952102600736,19.0
16.5,8.938646751961228,8.938646820217263,18.5
17.0,9.715451370682656,9.715451412082036,18.0
17.5,10.559763449085644,10.559763474195638,17.5
18.0,11.477449661690116,11.477449676920097,17.0
18.5,12.474886519647661,12.474886528885111,16.5
19.0,13.559004678058505,13.5590046836613,16.0
19.5,14.737337093597038,14.737337096995304,15.5
20.0,16.01807136712286,16.01807136918401,15.0
20.5,17.410106635011665,17.41010663626182,14.5
21.0,18.92311540453376,18.92311540529202,14.0
21.5,20.567610762953432,20.56761076341334,13.5
22.0,22.35501942735674,22.355019427635696,13.0
22.5,24.297761142796354,24.297761142965555,12.5
23.0,26.409334980451366,26.409334980553993,12.0
23.5,28.704413135443403,28.704413135505654,11.5
24.0,31.198942876060876,31.198942876098634,11.0
24.5,33.91025735278242,33.91025735280533,10.5
25.0,36.85719603705253,36.85719603706643,10.0
25.5,40.060235626674,40.060235626682434,9.5
26.0,43.54163232740889,43.54163232741401,9.0
26.5,47.325576499426575,47.32557649942969,8.5
27.0,51.438360743154306,51.43836074315619,8.0
27.5,55.90856259246874,55.908562592469885,7.5
28.0,60.76724308466568,60.767243084666376,7.0
28.5,66.04816258696421,66.04816258696464,6.5
29.0,71.78801537920805,71.7880153792083,6.0
29.5,78.02668462275355,78.02668462275372,5.5
30.0,84.80751948718668,84.80751948718678,5.0
30.5,92.17763636047377,92.17763636047383,4.5
31.0,100.18824623549422,100.18824623549426,4.0
31.5,108.8950105477887,108.89501054778873,3.5
32.0,118.35842793704848,118.3584279370485,3.0
32.5,128.64425461974454,128.64425461974457,2.5
33.0,139.8239612938404,139.82396129384043,2.0
33.5,151.9752297503747,151.97522975037472,1.5
34.0,165.1824926426014,165.18249264260143,1.0
34.5,179.53752016325407,179.5375201632541,0.5
35.0,195.14005770644013,195.14005770644016,0.0
