time,E,I,reverse_time
0.0,0.0,1.0,35.0
0.5,0.17756319435755227,0.8688837850251576,34.5
1.0,0.2964371423312271,0.7913382872532495,34.0
1.5,0.3778372396150127,0.7483152284776485,33.5
2.0,0.435366051999165,0.7276104918192574,33.0
2.5,0.4777466590357573,0.7214070199726342,32.5
3.0,0.5105746514874783,0.7246998884483543,32.0
3.5,0.5374411143749808,0.7342868275547509,31.5
4.0,0.5606524301125266,0.7481211807670074,31.0
4.5,0.581691655100526,0.7648971744505251,30.5
5.0,0.6015142524938021,0.7837840925655986,30.0
5.5,0.6207376521835167,0.8042558952882843,29.5
6.0,0.6397627572083122,0.8259820145573188,29.0
6.5,0.6588518299107027,0.8487573624030792,28.5
7.0,0.6781784188897045,0.8724574736826758,28.0
7.5,0.6978593650330139,0.8970097593942864,27.5
8.0,0.7179753208809353,0.9223750865634693,27.0
8.5,0.7385839074948252,0.9485359773248371,26.5
9.0,0.7597281523089185,0.9754890508826923,26.0
9.5,0.7814419023626086,1.0032401852053976,25.5
10.0,0.8037532989764207,1.0318014221663914,25.0
10.5,0.8266870100106679,1.0611889903651293,24.5
11.0,0.850265665915733,1.0914220445347729,24.0
11.5,0.8745107855851245,1.122521864452826,23.5
12.0,0.8994433753404174,1.1545113485769152,23.0
12.5,0.9250843185611083,1.1874146967935284,22.5
13.0,0.9514546312863309,1.2212572145911416,22.0
13.5,0.9785756320754513,1.2560651952772568,21.5
14.0,1.0064690570828851,1.2918658524398412,21.0
14.5,1.035157140193512,1.3286872848407625,20.5
15.0,1.0646626709446727,1.3665584623304592,20.0
15.5,1.0950090383969195,1.4055092254765174,19.5
16.0,1.1262202661905591,1.4455702942292163,19.0
16.5,1.158321042150263,1.4867732826332836,18.5
17.0,1.1913367445984933,1.5291507176761123,18.0
17.5,1.2252934667685271,1.5727360610557826,17.5
18.0,1.2602180402144838,1.6175637330966968,17.0
18.5,1.2961380577997013,1.6636691383257487,16.5
19.0,1.3330818966423927,1.7110886924049136,16.0
19.5,1.3710787412679513,1.7598598502336609,15.5
20.0,1.4101586071344152,1.8100211351101412,15.0
20.5,1.4503523646446776,1.8616121688887817,14.5
21.0,1.4916917637253082,1.914673703103368,14.0
21.5,1.5342094590304303,1.9692476510451087,13.5
22.0,1.5779390358155838,2.025377120798531,13.0
22.5,1.6229150365180467,2.0831064492468885,12.5
23.0,1.6691729880748891,2.1424812370647004,12.0
23.5,1.71674943000693,2.203548384719141,11.5
24.0,1.765681943294998,2.266356129504921,11.0
24.5,1.816009180074019,2.330954083639483,10.5
25.0,1.8677708941701154,2.39739327344704,10.0
25.5,1.921007972505954,2.46572617966141,9.5
26.0,1.975762467399862,2.5360067788788454,9.0
26.5,2.0320776297846797,2.608290586193185,8.5
27.0,2.0899979433728846,2.682634699046742,8.0
27.5,2.1495691597951607,2.7590978423314088,7.5
28.0,2.21083833474029,2.8377404147754772,7.0
28.5,2.2738538651249893,2.9186245366527666,6.5
29.0,2.3386655273231045,3.0018140988516837,6.0
29.5,2.4053245164843897,3.0873748133429566,5.5
30.0,2.473883486973951,3.1753742650858867,5.0
30.5,2.54439659396431,3.2658819654141054,4.5
31.0,2.616919536212948,3.3589694069429994,4.0
31.5,2.691509600059134,3.4547101200421753,3.5
32.0,2.768225704674781,3.5531797309175595,3.0
32.5,2.847128448605088,3.6544560213490205,2.5
33.0,2.9282801576357245,3.7586189901306937,2.0
33.5,3.011744934024374,3.8657509162625416,1.5
34.0,3.0975887071355213,3.9759364239430646,1.0
34.5,3.1858792855184843,4.089262549414498,0.5
35.0,3.2766864104698232,4.2058188097133,0.0
