reverse_times,reverse_dates,forward_times
0,2015-02-14,355
1,2015-02-13,354
2,2015-02-12,353
3,2015-02-11,352
4,2015-02-10,351
5,2015-02-09,350
6,2015-02-08,349
7,2015-02-07,348
8,2015-02-06,347
9,2015-02-05,346
10,2015-02-04,345
11,2015-02-03,344
12,2015-02-02,343
13,2015-02-01,342
14,2015-01-31,341
15,2015-01-30,340
16,2015-01-29,339
17,2015-01-28,338
18,2015-01-27,337
19,2015-01-26,336
20,2015-01-25,335
21,2015-01-24,334
22,2015-01-23,333
23,2015-01-22,332
24,2015-01-21,331
25,2015-01-20,330
26,2015-01-19,329
27,2015-01-18,328
28,2015-01-17,327
29,2015-01-16,326
30,2015-01-15,325
31,2015-01-14,324
32,2015-01-13,323
33,2015-01-12,322
34,2015-01-11,321
35,2015-01-10,320
36,2015-01-09,319
37,2015-01-08,318
38,2015-01-07,317
39,2015-01-06,316
40,2015-01-05,315
41,2015-01-04,314
42,2015-01-03,313
43,2015-01-02,312
44,2015-01-01,311
45,2014-12-31,310
46,2014-12-30,309
47,2014-12-29,308
48,2014-12-28,307
49,2014-12-27,306
50,2014-12-26,305
51,2014-12-25,304
52,2014-12-24,303
53,2014-12-23,302
54,2014-12-22,301
55,2014-12-21,300
56,2014-12-20,299
57,2014-12-19,298
58,2014-12-18,297
59,2014-12-17,296
60,2014-12-16,295
61,2014-12-15,294
62,2014-12-14,293
63,2014-12-13,292
64,2014-12-12,291
65,2014-12-11,290
66,2014-12-10,289
67,2014-12-09,288
68,2014-12-08,287
69,2014-12-07,286
70,2014-12-06,285
71,2014-12-05,284
72,2014-12-04,283
73,2014-12-03,282
74,2014-12-02,281
75,2014-12-01,280
76,2014-11-30,279
77,2014-11-29,278
78,2014-11-28,277
79,2014-11-27,276
80,2014-11-26,275
81,2014-11-25,274
82,2014-11-24,273
83,2014-11-23,272
84,2014-11-22,271
85,2014-11-21,270
86,2014-11-20,269
87,2014-11-19,268
88,2014-11-18,267
89,2014-11-17,266
90,2014-11-16,265
91,2014-11-15,264
92,2014-11-14,263
93,2014-11-13,262
94,2014-11-12,261
95,2014-11-11,260
96,2014-11-10,259
97,2014-11-09,258
98,2014-11-08,257
99,2014-11-07,256
100,2014-11-06,255
101,2014-11-05,254
102,2014-11-04,253
103,2014-11-03,252
104,2014-11-02,251
105,2014-11-01,250
106,2014-10-31,249
107,2014-10-30,248
108,2014-10-29,247
109,2014-10-28,246
110,2014-10-27,245
111,2014-10-26,244
112,2014-10-25,243
113,2014-10-24,242
114,2014-10-23,241
115,2014-10-22,240
116,2014-10-21,239
117,2014-10-20,238
118,2014-10-19,237
119,2014-10-18,236
120,2014-10-17,235
121,2014-10-16,234
122,2014-10-15,233
123,2014-10-14,232
124,2014-10-13,231
125,2014-10-12,230
126,2014-10-11,229
127,2014-10-10,228
128,2014-10-09,227
129,2014-10-08,226
130,2014-10-07,225
131,2014-10-06,224
132,2014-10-05,223
133,2014-10-04,222
134,2014-10-03,221
