reverse_times,reverse_dates,forward_times
0,2015-02-14,365
1,2015-02-13,364
2,2015-02-12,363
3,2015-02-11,362
4,2015-02-10,361
5,2015-02-09,360
6,2015-02-08,359
7,2015-02-07,358
8,2015-02-06,357
9,2015-02-05,356
10,2015-02-04,355
11,2015-02-03,354
12,2015-02-02,353
13,2015-02-01,352
14,2015-01-31,351
15,2015-01-30,350
16,2015-01-29,349
17,2015-01-28,348
18,2015-01-27,347
19,2015-01-26,346
20,2015-01-25,345
21,2015-01-24,344
22,2015-01-23,343
23,2015-01-22,342
24,2015-01-21,341
25,2015-01-20,340
26,2015-01-19,339
27,2015-01-18,338
28,2015-01-17,337
29,2015-01-16,336
30,2015-01-15,335
31,2015-01-14,334
32,2015-01-13,333
33,2015-01-12,332
34,2015-01-11,331
35,2015-01-10,330
36,2015-01-09,329
37,2015-01-08,328
38,2015-01-07,327
39,2015-01-06,326
40,2015-01-05,325
41,2015-01-04,324
42,2015-01-03,323
43,2015-01-02,322
44,2015-01-01,321
45,2014-12-31,320
46,2014-12-30,319
47,2014-12-29,318
48,2014-12-28,317
49,2014-12-27,316
50,2014-12-26,315
51,2014-12-25,314
52,2014-12-24,313
53,2014-12-23,312
54,2014-12-22,311
55,2014-12-21,310
56,2014-12-20,309
57,2014-12-19,308
58,2014-12-18,307
59,2014-12-17,306
60,2014-12-16,305
61,2014-12-15,304
62,2014-12-14,303
63,2014-12-13,302
64,2014-12-12,301
65,2014-12-11,300
66,2014-12-10,299
67,2014-12-09,298
68,2014-12-08,297
69,2014-12-07,296
70,2014-12-06,295
71,2014-12-05,294
72,2014-12-04,293
73,2014-12-03,292
74,2014-12-02,291
75,2014-12-01,290
76,2014-11-30,289
77,2014-11-29,288
78,2014-11-28,287
79,2014-11-27,286
80,2014-11-26,285
81,2014-11-25,284
82,2014-11-24,283
83,2014-11-23,282
84,2014-11-22,281
85,2014-11-21,280
86,2014-11-20,279
87,2014-11-19,278
88,2014-11-18,277
89,2014-11-17,276
90,2014-11-16,275
91,2014-11-15,274
92,2014-11-14,273
93,2014-11-13,272
94,2014-11-12,271
95,2014-11-11,270
