sim_id,sim,individ_frame_file,state_frame_file,tree_file,sim_julia_file,N,I_init,r0,nu,gamma,stop_time,last_samp_time
1,fixed_iso50,fixed_individ_frame.csv,fixed_state_frame.csv,fixed_iso50_trees.csv,sim_fixed_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
2,fixed_iso100,fixed_individ_frame.csv,fixed_state_frame.csv,fixed_iso100_trees.csv,sim_fixed_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
3,fixed_het50,fixed_individ_frame.csv,fixed_state_frame.csv,fixed_het50_trees.csv,sim_fixed_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
4,fixed_het100,fixed_individ_frame.csv,fixed_state_frame.csv,fixed_het100_trees.csv,sim_fixed_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
5,increase_iso50,increase_individ_frame.csv,increase_state_frame.csv,increase_iso50_trees.csv,sim_increase_scenario.jl,15000,1,1.3,0.14285714285714285,0.25,154.0,153.0
6,increase_iso100,increase_individ_frame.csv,increase_state_frame.csv,increase_iso100_trees.csv,sim_increase_scenario.jl,15000,1,1.3,0.14285714285714285,0.25,154.0,153.0
7,increase_het50,increase_individ_frame.csv,increase_state_frame.csv,increase_het50_trees.csv,sim_increase_scenario.jl,15000,1,1.3,0.14285714285714285,0.25,154.0,153.0
8,increase_het100,increase_individ_frame.csv,increase_state_frame.csv,increase_het100_trees.csv,sim_increase_scenario.jl,15000,1,1.3,0.14285714285714285,0.25,154.0,153.0
9,control_iso50,control_individ_frame.csv,control_state_frame.csv,control_iso50_trees.csv,sim_control_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
10,control_iso100,control_individ_frame.csv,control_state_frame.csv,control_iso100_trees.csv,sim_control_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
11,control_het50,control_individ_frame.csv,control_state_frame.csv,control_het50_trees.csv,sim_control_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
12,control_het100,control_individ_frame.csv,control_state_frame.csv,control_het100_trees.csv,sim_control_scenario.jl,15000,1,2.2,0.14285714285714285,0.25,154.0,153.0
